Plot	Plot_bexis	exploratory	habitat	root_decomposition	dung_removal	seed_depletion	browsing_percentage	insect_herbivory	caterpillars_predation	barkbeetle_predation	soil_beta_glucosidase	soil_Nacetyl_glucosaminidase	soil_xylanase	soil_carbon_fluxes	soil_respiration_2011	soil_respiration_2017	soil_respiration_2018	soil_respiration_2019	average_soil_respiration	soil_methane_oxidation	microbial_C	fine_roots_C	litter_C_2015	litter_C_2016	litter_C_2017	litter_C_2018	average_litter_C	soil_org_C_2011	soil_org_C_2014	average_soil_org_C	soil_potential_nitrification_2014	soil_potential_nitrification_2016	average_soil_potential_nitrification	ammonia_oxidizing_archaea	ammonia_oxidizing_bacteria	nitrite_oxidizing_nitrobacter	nitrite_oxidizing_nitrospira	forest_soil_nitrite_fluxes	forest_soil_ammonia_fluxes	soil_N_retention	microbial_N	fine_roots_N	litter_N_2015	litter_N_2016	litter_N_2017	litter_N_2018	average_litter_N	soil_N_2011	soil_N_2014	average_soil_N	soil_phosphatase_2011	soil_phosphatase_2014	average_soil_phosphatase	soil_P_retention_2011	soil_P_retention_2018	average_soil_P_retention	soil_P_soluble	soil_org_P_soluble	microbial_P	soil_olsenP_2014	soil_olsenP_2021	average_soil_olsenP	root_biomass_2011	root_biomass_2014	root_biomass_2017	average_root_biomass	litter_biomass_2015	litter_biomass_2016	litter_biomass_2017	litter_biomass_2018	litter_biomass_2019	litter_biomass_2020	litter_biomass_2021	average_litter_biomass
AEW11	AEW11	ALB	forest	7.5	1.8757425062839	100	NA	0.37971775629202	0.75	0.050174658621785	275.43	269.773742592313	245.51	-0.123332833978592	37.73878	1.64267185408397	2.63	1.87	0.887823155755498	1.399656952	312.138024893814	446.134066060853	499.88	508.223333333333	495.173333333333	490.805	498.520416666667	3.06	4.59	3.825	4.194	4.194139373	4.1940696865	187000000	2800000	112000	3170000	0.0258088420961921	1.80434976369284	0.0202179494955622	23.9003857769901	12.2162703480309	11.09	10.48	10.0333333333333	12.895	11.1245833333333	0.2	0.33	0.265	4713.75596459006	5552.51	5133.13298229503	0.141406173501166	0	0.134321328991128	0.17	0.25	10.87	14.61	14.02	14.315	1.972	64.5	53.93	0.617205770112757	333.53	474.51	654.99	410.38	752.45	NA	156.53	463.731666666667
AEW12	AEW12	ALB	forest	9	0.459380111902798	80	27.16	0.644557637012986	0.796	0.016662641873943	669.332064456639	648.951135947677	293.239027042062	0.655463499236611	52.22916	3.89136162257067	1.57	2.6	1.17436890728869	0.838018699	602.236622711968	402.224422835393	497.03	499.103333333333	491.763333333333	496.495	496.097916666667	3.65	3.54	3.595	20.276	20.27562498	20.27581249	40600000	40600000	373000	40600000	0.322201610971139	0.771934672349095	0.0224719101123595	78.5896642408816	11.9438395817447	12.35	10.8866666666667	10.8433333333333	13.05	11.7825	0.28	0.25	0.265	6817.98280766606	9002.32	7910.15140383303	0.263935015346734	0	0.25071113340306	0.09	0.27	40.24	4.8	4.9	4.85	0.886	55.4	59.3	0.543443578889148	215.17	383.92	533.54	453.74	884.75	NA	153.53	437.441666666667
AEW13	AEW13	ALB	forest	12	0.582839942019	80	3.62	1.3820577293904	0.488	0.021713615023474	915.148991732256	459.745569388807	266.891945342994	0.514794321800482	71.82866	2.45431760972337	2.31	2.03	1.12387581770343	0.331255265	683.877221318641	477.045979549051	500.58	502.026666666667	383.326666666667	498.26	471.048333333333	3.55	3.67	3.61	11.182	11.18190933	11.181954665	6730000	21900000	17300	51700000	0.406692147879767	0.2721735180955	0.0268781077812122	87.5119780683924	11.2937315341148	11.225	11.3733333333333	7.89333333333333	12.17	10.6654166666667	0.24	0.29	0.265	11448.453802271	9208.72	10328.5869011355	0.393794802795773	0	0.374064582554391	0.04	0.16	46.49	2.69	1.74	2.215	1.122	57.6	64.4	0.585542949362414	324.68	388.61	654.82	444.34	755.94	NA	239.94	468.055
AEW14	AEW14	ALB	forest	10.8	1.25290583614434	100	NA	1.55542453976108	0.556	0.005266622778144	494.439230171481	376.589111549273	172.904733215552	-0.165300026891963	50.38845	2.71831757582638	1.97	1.86	0.994036727418792	0.549745253	382.129033621868	411.819423418535	492.505	496.443333333333	494.143333333333	491.525	493.654166666667	3.2	3.21	3.205	9.374	9.374272252	9.374136126	9510000	49000000	863000	1.71e+08	1.35148843058436	0.556230266984551	0.027698529208099	31.9869920919227	11.0600232028263	12.84	12.93	10.8633333333333	12.435	12.2670833333333	0.25	0.26	0.255	4444.1610550416	3974.16	4209.1605275208	0.430513844466782	0	0.40894389761124	0.08	0.31	27.6	5.64	4.47	5.055	1.866	79.8	109.01	0.905026015004048	329.87	335.88	526.85	416.52	802	NA	177.7	431.47
AEW15	AEW15	ALB	forest	15.7	0.0726842978927424	97.6	NA	2.33728539320722	0.62	0.037003610108303	1697.73128445207	602.862596637055	226.87	0.959019208868332	66.08379	1.83028289347972	2.05	1.58	0.94337168207113	0.168081709	741.257897856283	451.746346426813	473.705	484.573333333333	472.12	470.985	475.345833333333	6.18	2.77	4.475	13.841	13.84089396	13.84094698	915000	137000000	3070000	2.52e+08	2.00580784688474	1.31110061991411	0.0187835756414591	104.544812244284	12.9090251603246	18.215	17.43	16.6966666666667	12.465	16.2016666666667	0.45	0.23	0.34	4623.65121374223	6487.31	5555.48060687112	0.320005353602797	0	0.303972191000905	0.06	0.17	31	3.97	3.1	3.535	1.762	43.2	31.79	0.417118415569533	356.92	414.64	434.74	480.77	799.66	NA	84.13	428.476666666667
AEW16	AEW16	ALB	forest	13.8	0.33222555018864	75.2	NA	2.9180709934233	0.66	0.016778523489933	726.499738708217	813.809493972019	205.97	0.520633332679977	60.59951	1.59013189260521	1.53	1.43	0.811472928448289	0.361894555	845.258245379179	482.001898554065	483.195	490.873333333333	487.016666666667	487.85	487.23375	3.12	3.43	3.275	19.095	19.09500331	19.095001655	56000000	41100000	484000	1.73e+08	1.36423557654351	0.923089368043068	0.106010813102937	118.169127385032	10.0845202003711	11.96	11.6066666666667	10.6666666666667	11.5	11.4333333333333	0.23	0.28	0.255	5318.16848358481	5244.4	5281.2842417924	0.685359107584381	0	0.651020700776891	0.06	0.18	38.93	5.4	2.4	3.9	4.842	98	135.96	1.24124017737844	330.9	488.25	530.56	593.94	633.35	NA	61.63	439.771666666667
AEW17	AEW17	ALB	forest	13	0.266542526273317	80	NA	6.49291116231886	0.46	0.026147588611273	781.844366555514	574.73448194481	176.92448327962	0.210312548019721	61.63111	1.3745972898007	1.64	1.26	0.78534992136602	0.801975991	643.553883848542	609.434357068837	479.57	492.57	487.38	479.41	484.7325	3.35	5.12	4.235	17.097	17.09681046	17.09690523	80400000	13000000	454000	3.26e+08	2.56715409435414	0.887915004894156	0.112195669247167	98.5130348266004	23.3644630170716	9.955	11.9666666666667	11.3066666666667	12.84	11.5170833333333	0.27	0.44	0.355	3330.78487553271	3567.82	3449.30243776636	0.303165657756193	0	0.287976210981663	0.09	0.23	31.88	5.64	4.1	4.87	0.346	80.4	58.8	0.635140900447023	338.39	448.99	512.77	376.43	850.75	NA	93.1	436.738333333333
AEW18	AEW18	ALB	forest	7.7	0.539040716383633	100	22.33	4.36991774727412	0.756	0.020147750167898	889.602632579423	717.402229248167	203.583091203288	0.512578952932146	48.31084	2.52003994117597	2.34	1.35	0.948048344040949	0.9492443915	495.034218086168	416.344539614208	478.495	495.01	481.45	468.975	480.9825	2.96	3.83	3.395	15.526	15.52601721	15.526008605	21500000	86100000	1160000	2.23e+08	1.76273919691725	1.0229085067089	0.0487258198119183	68.3744783552859	12.1330381676913	11.21	14.6466666666667	9.13333333333333	11.765	11.68875	0.23	0.29	0.26	3520.68674311153	4676.39	4098.53837155577	0.117019077001774	0	0.111156094186113	0.18	0.34	19.65	19.3	14.29	16.795	1.38	60	109.82	0.790536590206266	453.53	759.4	587.08	664.28	998.2	NA	335.49	632.996666666667
AEW19	AEW19	ALB	forest	17	0.470634742627039	100	6.85	5.06200854784448	0.376	0.022907488986784	871.559219398297	802.765285809299	261.955684080563	0.805253657863607	65.75455	2.5984022452702	2.25	1.83	1.08256210498702	0.8884409025	803.098466277154	471.381968564919	475.535	494.903333333333	487.063333333333	474.17	482.917916666667	2.99	3.85	3.42	10.274	10.27355988	10.27377994	28000000	44700000	1290000	2.12e+08	1.67726018607459	0.691128702952946	0.0325510237296963	121.259679801597	16.1075120684114	9.185	13.0966666666667	13.11	15.795	12.7966666666667	0.25	0.3	0.275	3108.99573821784	6675.07	4892.03286910892	0.0332337201456154	0	0.0315686178810396	0.1	0.24	35.49	5.44	5.62	5.53	3.512	95	137.9	1.1713062191476	478.36	699.29	556.69	718.74	1008.15	NA	218.16	613.231666666667
AEW20	AEW20	ALB	forest	10.3	0.595825063009601	100	0	4.50106463779978	0.916	0.008268482490272	1289.63789662743	847.764211994948	272.996270437725	1.13406704699039	62.07571	2.09182783237986	2.18	1.9	1.00570539646107	0.599535834	855.886383134166	394.872982671127	478.02	496.903333333333	482.626666666667	474.385	482.98375	3.5	3.48	3.49	14.398	14.39764176	14.39782088	147000000	34000000	94700	2.7e+08	2.12395839832979	1.72069181890623	0.0352447749621119	124.405308618348	8.50303019764679	10.76	16.3666666666667	10.4633333333333	12.955	12.63625	0.29	0.26	0.275	2003.31493605569	5326.74	3665.02746802784	0.0522691054773167	0	0.0496502772054202	0.08	0.35	29.32	7.97	5.75	6.86	1.81	69	71.48	0.701014843099464	439.07	756.7	663.82	526.02	1055.17	NA	103.84	590.77
AEW21	AEW21	ALB	forest	11.4	0.355791824150855	100	21.43	4.02965278524845	0.58	0.055445544554455	2321.28860800732	886.778839843199	364.392724041807	2.11695653540638	14.82345	2.52127051272281	3.14	2.89	1.05496585699539	0.6411959585	1101.59259665706	453.191969066184	462.89	484.153333333333	476.35	459.84	470.808333333333	3.07	2.2	2.635	17.626	17.62574348	17.62587174	4270000	3750000	17200	67400000	0.530152306327667	0.0762428087714254	0.0949848024316109	185.484735265105	16.5877070329337	11.39	14.6866666666667	12.5933333333333	14.935	13.40125	0.26	0.17	0.215	1803.32285711773	3214.63	2508.97642855887	0.605061712397458	0	0.574746429512883	0.09	0.21	58.74	6.4	6.06	6.23	3.022	157	104.97	1.31270726981796	553.94	445.84	416.16	488.36	897.62	NA	106.34	484.71
AEW22	AEW22	ALB	forest	11.8	0.147738616544472	100	11.4	2.98882079279645	0.792	0.029561063003882	1326.76047441335	764.381472062053	248.80834844668	0.98323769688603	54.58375	1.73399486893863	2.02	1.92	0.911925232910621	0.429765238	744.970854880751	485.062676819049	486	496.703333333333	487.043333333333	476.555	486.575416666667	3.8	2.97	3.385	8.807	8.806621608	8.806810804	12400000	37900000	211000	1.55e+08	1.22054119152714	0.478181207132506	0.0878271561566837	130.432217782408	10.3304766034647	9.755	14.4766666666667	12.1133333333333	12.04	12.09625	0.29	0.24	0.265	2059.87397477076	4265.79	3162.83198738538	0.761087039469587	0	0.72295445162184	0.05	0.28	29.84	4.91	2.84	3.875	1.43	85.9	60.8	0.721021450302654	416.07	666.95	729.43	691.22	997.15	NA	391.46	648.713333333333
AEW23	AEW23	ALB	forest	14.5	0.199781360986176	100	NA	2.60497903193664	0.81	0.017056530214425	815.735533110556	838.868990896844	157.312290005765	0.413659448211141	62.47109	2.56621582771055	2.38	1.85	1.08080395963198	0.5792258135	591.723990673421	453.057425059552	481.745	497.566666666667	479.983333333333	475.155	483.6125	3.71	3.51	3.61	NA	NA	NA	37100000	14300000	390000	1.36e+08	1.07253746907363	0.488638450230831	0.0435009570210545	71.7019457250321	10.6275989943922	8.26	13.3966666666667	10.1866666666667	10.74	10.6458333333333	0.3	0.26	0.28	7796.22129085371	4919.15	6357.68564542685	0.83657833841854	0	0.79466342550201	0.06	0.25	12.63	4.61	3.49	4.05	4.092	117.7	72.26	1.04542971990862	313.25	589.92	671.02	675.45	811.82	NA	265.78	554.54
AEW24	AEW24	ALB	forest	8.8	0.965832841347046	84	NA	2.26483715566841	0.506	0.085714285714286	1033.75773552304	710.658385715001	263.305416044247	0.814945445188196	44.61438	2.16167316601382	1.47	2.35	0.897418963576055	0.6719800865	629.528493295985	382.417453205961	478.775	485.38	483.606666666667	475.53	480.822916666667	3.61	5.13	4.37	NA	NA	NA	3900000	20600000	447000	17200000	0.138771674732329	0.232911323553606	0.0154409153374612	85.8897004892471	11.1947627829032	13.47	13.29	14.7233333333333	11.385	13.2170833333333	0.28	0.4	0.34	2730.02000777034	6066.02	4398.02000388517	0.441711972556737	0	0.41958096818612	0.07	0.21	29.1	3.18	3.06	3.12	4.22	151	141.19	1.48563798634653	501.59	698.1	578.98	657.67	997.37	NA	38.91	578.77
AEW25	AEW25	ALB	forest	12.4	0	100	NA	3.71316759268021	0.752	0.033707865168539	717.04	657.544911870074	307.201908090601	0.744223058799132	48.71657	2.5974368871641	2.28	2.21	1.04748577367524	0.6893396865	593.33460470674	402.810164268515	480.26	483.44	478.913333333333	472.475	478.772083333333	3.77	4.5	4.135	NA	NA	NA	3420000	13600000	632000	1.3e+08	1.0272579709658	0.161802070484995	0.0356747886268774	68.3861932938137	11.7350296026352	8.275	12.9733333333333	11.4966666666667	13.95	11.67375	0.29	0.32	0.305	4815.82306262695	3623.28	4219.55153131347	0.969511252813205	0	0.920936029349875	0.05	0.15	29.4	3.67	4.15	3.91	6.872	118	139.84	1.44893797824554	460.97	469.8	544.91	396.63	772.54	NA	91.16	456.001666666667
AEW26	AEW26	ALB	forest	8.7	0.465157216444504	100	NA	4.2929287641166	0.656	0.045830202854996	1033.44532122581	622.799082443669	275.188614723488	0.773880838030014	46.82004	2.68378967427379	2.26	3.03	1.13732564399218	0.428686559	671.651236630894	411.302228923259	482.68	486.613333333333	478.83	479.81	481.983333333333	3.58	6.32	4.95	NA	NA	NA	3400000	24800000	165000	1.91e+08	1.50327461892705	0.268085686702518	0.0492853622474125	51.2700681813453	13.3597228391141	16.24	12.7633333333333	11.34	11.96	13.0758333333333	0.29	0.5	0.395	6055.60249507106	5246.37	5650.98624753553	0.372820528444382	0.565	0.622427839021798	0.1	0.27	38.36	4.07	3.3	3.685	6.42	118.1	141.1	1.43291541902568	377.44	546.87	596.2	501.06	852.34	NA	65.92	489.971666666667
AEW27	AEW27	ALB	forest	11.7	1.1502175649239	80.8	NA	NA	0.352	0.069047619047619	992.10389978738	690.132157018866	309.018041225245	0.942936579650212	66.62585	2.01827922835759	1.59	1.77	0.934714447807794	0.2488714485	517.992809411765	407.687290238145	482.155	486.713333333333	478.196666666667	472.49	479.88875	3.43	5.06	4.245	5.974	5.974221623	5.9741108115	1070000	147000000	4290000	1.36e+08	1.10320611141828	1.40763998688092	0.0147045848895686	65.1694592189269	13.0178106772709	16.615	16.44	14.4533333333333	13.705	15.3033333333333	0.25	0.39	0.32	6283.40316824504	5556.34	5919.87158412252	0.305444887078119	1.373	0.942101573084454	0.06	0.2	20.65	4.39	3.3	3.845	4.952	71.5	82.39	0.906139371563816	384.95	453.13	519.61	560.19	911.37	NA	110.96	490.035
AEW28	AEW28	ALB	forest	6.3	1.35117113767236	100	1.55	3.02520351257623	0.856	0.057640750670241	718.733724900347	592.308881653255	180.856929704648	0.205531468369434	54.72443	2.61091381529325	2.28	2.16	1.07196497307801	0.682497522	796.831645432099	408.811027350555	488.355	494.263333333333	484.396666666667	481.09	487.02625	3.1	8.06	5.58	16.071	16.071022	16.071011	891000	20100000	625000	55600000	0.442139593802072	0.199552718069949	0.0378888341605729	101.00420018692	11.4563902634307	10.425	15.6533333333333	12.4566666666667	14.655	13.2975	0.24	0.6	0.42	5954.74935390758	5916.05	5935.39967695379	0.544262585675494	0.238	0.630006297163415	0.05	0.19	33.94	3.02	2.42	2.72	1.23	118	94.01	0.997340306432353	346.21	550.17	420.95	500.73	766.94	NA	145.51	455.085
AEW29	AEW29	ALB	forest	8.8	0.505360703569537	92	39.39	6.74950169155582	0.8	0.022720478325859	603.047423073292	710.081382285828	242.475322952255	0.485202104349091	69.46007	3.0813615429681	1.48	2.34	1.12224617909901	0.8480450275	563.758730835979	465.600228416128	487.75	500.176666666667	487.1	489.14	491.041666666667	3.52	5.31	4.415	17.409	17.4089248	17.4089624	18100000	63200000	1160000	1.44e+08	1.14150259557686	0.772885330812579	0.0805931656995487	72.181173701018	12.8872111756396	12.085	11.7666666666667	11.1333333333333	13.575	12.14	0.25	0.37	0.31	6624.12342823328	5494.9	6059.51171411664	0.10864431238323	1.588	0.857252641516153	0.2	0.34	22.36	16.09	11.81	13.95	0.086	40	94.89	0.573799888829833	329.84	361.94	398.38	396.71	731.22	NA	171.66	398.291666666667
AEW30	AEW30	ALB	forest	10.5	0.503575717757357	100	19.74	4.82021351578785	0.86	0.027302511831088	1947.29836371513	949.471033006213	391.182104064768	2.06134446187831	103.6353	2.83325328350268	1.36	2.13	1.21782489005707	0.712093506	1102.98761946936	486.798631496944	479.145	495.73	481.7	462.185	479.69	4.74	3.7	4.22	23.465	23.46498721	23.464993605	75600000	17100000	113000	2.86e+08	2.24992237619373	0.881260395649767	0.0573033064007793	165.999304618258	11.5684921299639	12.375	17.2933333333333	12.7733333333333	13.315	13.9391666666667	0.38	0.35	0.365	5516.17178834151	5611.59	5563.88089417076	0.250833685825541	1.623	1.00893745761822	0.14	0.33	58.67	6.18	3.54	4.86	2.16	136.9	96.64	1.14240475621362	441.87	603.55	571.33	487.51	918.19	NA	144	527.741666666667
AEW31	AEW31	ALB	forest	9.3	1.41600426830741	81.6	NA	0.860696851117399	0.634	0.055475786450855	1357.43415957517	1306.71757287642	344.631789395986	1.89091521940912	112.68808	2.63095973805239	1.72	2.39	1.30850830582119	0.5105578605	748.866710986186	435.557845172382	493.14	488.51	489.293333333333	492.095	490.759583333333	3.86	2.15	3.005	18.114	18.11382779	18.113913895	4720000	131000000	318000	44200000	0.350078620486984	1.29023366664063	0.0272064424855806	94.9467719732793	9.923159566787	11.81	11.71	10.67	12.76	11.7375	0.32	0.18	0.25	4676.2006058035	5144.95	4910.57530290175	0.207584503690726	1.365	0.845345519232758	0.08	0.22	36.02	4.19	2.84	3.515	0.416	24.2	85.02	0.474664167616305	178.16	193.06	273.67	196.43	621.11	NA	57.19	253.27
